"Date","Price","Open","High","Low","Vol.","Change %"
"15/07/2021","56,000.0","56,000.0","56,900.0","55,800.0","3.30K","0.00%"
"14/07/2021","56,000.0","53,500.0","57,000.0","53,000.0","14.40K","4.67%"
"13/07/2021","53,500.0","57,900.0","57,900.0","52,400.0","11.00K","-3.60%"
"12/07/2021","55,500.0","54,300.0","56,900.0","52,100.0","44.10K","-0.89%"
"09/07/2021","56,000.0","56,100.0","56,300.0","55,100.0","19.20K","-1.75%"
"08/07/2021","57,000.0","56,500.0","59,500.0","56,500.0","17.10K","0.88%"
"07/07/2021","56,500.0","57,800.0","57,800.0","54,600.0","19.20K","-2.25%"
"06/07/2021","57,800.0","59,700.0","59,700.0","57,800.0","25.00K","-1.87%"
"05/07/2021","58,900.0","58,300.0","59,000.0","58,200.0","4.30K","0.17%"
"02/07/2021","58,800.0","59,600.0","59,600.0","58,800.0","30.40K","-1.34%"
"01/07/2021","59,600.0","59,600.0","59,700.0","59,000.0","7.70K","0.00%"
